#Z	A	N	Yield	Uncertainty
48	123	75	5.13E-05	8.59E-06
48	123	75	1.24E-04	2.07E-05
49	123	74	4.47E-06	1.68E-06
49	123	74	1.93E-05	7.26E-06
50	123	73	5.73E-09	2.31E-09
50	123	73	1.38E-08	5.57E-09
46	124	78	1.40E-08	5.70E-09
47	124	77	6.93E-06	2.67E-06
47	124	77	7.70E-06	2.97E-06
48	124	76	1.14E-04	1.90E-05
49	124	75	7.27E-06	2.77E-06
49	124	75	8.07E-06	3.07E-06
50	124	74	1.26E-08	5.12E-09
47	125	78	1.37E-06	5.57E-07
48	125	77	1.27E-05	4.34E-06
48	125	77	3.06E-05	1.05E-05
49	125	76	1.81E-05	3.92E-06
49	125	76	7.82E-05	1.69E-05
50	125	75	4.36E-06	1.67E-06
50	125	75	1.05E-05	4.02E-06
51	125	74	1.30E-07	5.32E-08
52	125	73	9.24E-12	3.79E-12
52	125	73	3.02E-11	1.24E-11
47	126	79	3.29E-07	1.36E-07
48	126	78	3.11E-05	1.22E-05
49	126	77	7.54E-05	1.62E-05
49	126	77	8.37E-05	1.79E-05
50	126	76	6.14E-05	2.10E-05
51	126	75	3.41E-07	1.41E-07
51	126	75	4.46E-07	1.84E-07
51	126	75	4.61E-07	1.90E-07
52	126	74	1.37E-09	5.67E-10
48	127	79	3.99E-08	1.58E-08
49	127	78	8.77E-06	3.33E-06
49	127	78	3.79E-05	1.44E-05
50	127	77	1.08E-04	1.05E-05
50	127	77	2.61E-04	2.54E-05
51	127	76	5.20E-05	1.90E-05
52	127	75	1.14E-08	4.49E-09
52	127	75	2.74E-08	1.08E-08
48	128	80	2.02E-07	8.40E-08
49	128	79	3.10E-05	1.38E-05
49	128	79	7.62E-05	3.38E-05
49	128	79	9.66E-05	4.29E-05
50	128	78	6.04E-04	4.42E-05
50	128	78	0.0014143	1.04E-04
51	128	77	8.73E-05	3.28E-05
51	128	77	1.49E-04	5.60E-05
52	128	76	2.15E-07	8.92E-08
47	129	82	4.33E-09	2.07E-09
48	129	81	2.21E-06	1.07E-06
48	129	81	5.34E-06	2.59E-06
49	129	80	4.93E-05	3.10E-05
49	129	80	2.13E-04	1.34E-04
50	129	79	0.0010563	1.52E-04
50	129	79	0.00255	3.68E-04
51	129	78	4.43E-04	1.45E-04
51	129	78	7.25E-04	2.38E-04
52	129	77	4.75E-06	2.26E-06
52	129	77	1.15E-05	5.46E-06
53	129	76	1.53E-08	7.31E-09
47	130	83	1.16E-10	8.04E-11
48	130	82	8.19E-07	5.70E-07
49	130	81	3.00E-05	3.34E-05
49	130	81	3.35E-05	3.73E-05
49	130	81	5.69E-05	6.34E-05
50	130	80	7.41E-04	3.12E-04
50	130	80	0.0017362	7.31E-04
51	130	79	0.0018384	5.72E-04
51	130	79	0.0018384	5.72E-04
52	130	78	1.66E-04	1.11E-04
53	130	77	1.26E-07	8.73E-08
53	130	77	2.95E-07	2.05E-07
54	130	76	5.37E-11	3.72E-11
48	131	83	7.43E-08	3.11E-08
49	131	82	2.37E-05	1.05E-05
49	131	82	2.37E-05	1.05E-05
49	131	82	2.37E-05	1.05E-05
50	131	81	7.42E-04	2.95E-04
50	131	81	0.0017909	7.13E-04
51	131	80	0.012936	0.0012807
52	131	79	5.11E-04	1.94E-04
52	131	79	0.0012331	4.69E-04
53	131	78	2.13E-05	8.91E-06
54	131	77	2.54E-09	1.06E-09
54	131	77	6.14E-09	2.57E-09
48	132	84	1.94E-09	7.51E-10
49	132	83	8.16E-06	3.17E-06
50	132	82	0.0012451	5.02E-04
51	132	81	0.0058575	8.92E-04
51	132	81	0.0079475	0.0012108
52	132	80	0.0076941	0.0020345
53	132	79	1.22E-04	4.77E-05
53	132	79	1.66E-04	6.47E-05
54	132	78	2.89E-07	1.12E-07
54	132	78	3.28E-07	1.27E-07
55	132	77	3.93E-11	1.52E-11
49	133	84	7.08E-08	2.73E-08
49	133	84	3.06E-07	1.18E-07
50	133	83	2.73E-04	1.07E-04
51	133	82	0.011886	0.0025466
52	133	81	0.0051975	8.59E-04
52	133	81	0.012547	0.0020727
53	133	80	9.78E-04	4.17E-04
53	133	80	0.0015999	6.82E-04
54	133	79	6.43E-06	2.48E-06
54	133	79	1.55E-05	5.99E-06
55	133	78	8.14E-09	3.14E-09
49	134	85	5.46E-09	2.21E-09
50	134	84	1.98E-05	8.01E-06
51	134	83	9.15E-04	3.12E-04
51	134	83	0.002143	7.31E-04
52	134	82	0.033365	0.003672
53	134	81	0.0026857	0.0014397
53	134	81	0.0036441	0.0019533
54	134	80	1.32E-04	5.58E-05
54	134	80	3.08E-04	1.31E-04
55	134	79	2.82E-07	1.14E-07
55	134	79	3.83E-07	1.55E-07
56	134	78	4.58E-11	1.85E-11
49	135	86	4.13E-11	1.46E-11
50	135	85	7.01E-07	2.47E-07
51	135	84	4.90E-04	1.67E-04
52	135	83	0.017626	0.003195
53	135	82	0.019976	0.0035038
54	135	81	7.24E-04	3.02E-04
54	135	81	0.001747	7.29E-04
55	135	80	9.27E-06	3.27E-06
55	135	80	1.52E-05	5.35E-06
56	135	79	1.83E-09	6.43E-10
56	135	79	4.41E-09	1.55E-09
50	136	86	1.03E-08	6.63E-09
51	136	85	2.56E-05	1.63E-05
52	136	84	0.0046936	0.0018089
53	136	83	0.0076984	0.0014074
